Call ID,Restaurant ID,Call Date,Sentiment,Recommended Dishes/Quotes,Call Highlights
25032801,CABOBOBS,03/28/2025,Praise,"""Fish tacos are a standout.""","Caller Hilda loves great fish tacos, relaxed vibe, says better than Chipotle. Jack notes, the first call was back in 2019 from a California caller who said these were the best fish tacos he had ever had outside of Southern California; there had been several calls since then, mostly praises (only one zing on the burrito)."
25032802,TBURGERO,03/28/2025,Praise,"""Angus beef burgers are top-notch.""",Caller Sandra likes the Angus beef burgers and fun Trump-themed decor.
25032803,GINOSDEL,03/28/2025,Praise,"""Philly cheesesteak is unreal!""","Caller Charlies praises amazing Philly cheesesteak, free drink/chips for first-timers. Jack notes, it's been a couple of years since we've had a call about Gino's Deli, but we've had tons of them going back about 16 years."
25032804,TEXASROA,03/28/2025,Zing,"""Wife’s prime rib was too rare.""","Caller Bob says chicken fried steak too bready, steaks mass-produced. Jack notes, we've had mostly positive calls on Texas Roadhouse over the years."
25032101,BLÜPRIME,03/21/2025,Praise,"""Filet mignon and pork chop were amazing!""","First time call on The Dish. Caller Glenn praises excellent meal, great service, decorated table for birthday, says it's comparable to other high-end steakhouse like Bohanan’s."
25032102,MAHARPER,03/21/2025,Praise,"""Fish is good and some mean pork chops, too; also, the gumbo and the red beans and rice.""","Caller Bob praises 96-years-old Ma Harper's gumbo, fish, and pork chops and notes her restaurant helps community kids. Jack notes a lot of calls going back several years, with ""our last call in June of 2023, and that caller was singling out the chicken gumbo, the seafood gumbo, the cornbread."""
25032103,CASAMÍAI,03/21/2025,Praise,"""Pepperoni pizza is a standout.""","Caller Roger says new place, very good pepperoni pizza, promising menu."
25032104,FLORIOSP,03/21/2025,Praise,"""Best NY-style pizza in town!""",Caller Robert praises the NY-style pizza and notes great deal till 2:30pm (2 slices + drink for $5.50).
25032105,EMPANADA,03/21/2025,Praise,"""Alejandro says: ‘Corn and cheese empanadas are a must!’""","Caller Alejandro praises amazing Colombian empanadas (savory, not greasy), family-run."
25032106,DONPEDRO,03/21/2025,Praise,"""Nachos rancheros are a must-try.""",Caller Jared praises nachos rancheros with custom cheese. There are families that have been going to Don Pedro's for years and years. It's an institution.
25032107,RIVULETK,03/21/2025,Praise,"""Butternut squash ravioli is delicious.""","First time call on The Dish. Caller Michelle praises the diverse menu, including ample vegetarian options; highlights crab cakes, Cobb salad with shrimp, Wagyu double stack burgers, crispy butternut squash ravioli, and fig and blue cheese croissants."
25032108,GARCIASM,03/21/2025,Praise,"""Brisket tacos are the best!""","Caller Francisco praises amazing brisket tacos, a local favorite for generations."
25031401,BLACKSBA,03/14/2025,Praise,"""Smoked turkey is a winner.""","Caller Linda praises excellent smoked turkey, brisket, sides; oldest establishment in town under the same family (~65 years). "
25031402,BLACKSBA,03/14/2025,Zing,"""Caller says: ‘I do like Rudy’s instead.’”","Caller Audrey thinks it's probably the worst BBQ ever, tasteless sides, bad macaroni; prefers Rudy’s."
25031403,JULIANSIAH,03/14/2025,Zing,"""Usually great but needs tuning.""","Caller Mark notes table service issues, slow salad, cold chicken parm, but loves other Julian's locations."
25031404,DARKSIDE,03/14/2025,Praise,"""What I like the most about it was the 80s style movie memorabilia theme.""","Caller Alejandro likes the pizza and cool 80s movie theme (e.g., a life-size Darth Vader, a life-size Superman, a DeLorean going in through the wall, with expansion plan for a Predator-themed lounge). Jack notes the last call was in September 2024 (also a praise)."
25031405,SARITASM,03/14/2025,Praise,"""Shrimp appetizer is a hit.""","Caller Mary praises delicious food, great drinks, shrimp appetizer."
25031406,LAMARGAR,03/14/2025,Praise,"""Carnitas are amazing!""","Caller Rachel praises amazing carnitas, fresh tortillas, reasonable prices."
25031407,SARITASM,03/14/2025,Praise,"""Cheese enchiladas are my go-to.""","Caller Steve never had a bad meal, huge portions, great value."
25030701,MAPLEWAF,03/07/2025,Praise,"""Waffles with strawberries are huge!""","Caller Hilda likes the big waffles with bananas/strawberries, quaint place."
25030702,WOKTHISW,03/07/2025,Praise,"""Sesame chicken is a favorite.""","Caller Raymond says excellent Chinese, fast service, husband-wife owned."
25030703,JULIANSIAH,03/07/2025,Praise,"""Jalapeno and mushroom pizza is fresh!""","Caller Esteban likes the fresh pizza toppings (jalapenos, mushrooms), yummy."
25030704,MAKOSONT,03/07/2025,Praise,"""Octopus salad is a unique treat.""","Caller Catherine likes the unique flavors (octopus salad, hummus trio), nice spot."
25030705,BENNYSTA,03/07/2025,Mixed,"""Carne asada is great, but tamales overpriced at $17/dozen.""","Caller Ron says great carne asada, enchiladas, but tamales are disappointing."
25030706,ROYERSRO,03/07/2025,Praise,"""Strawberry rhubarb pie is a must!""","Caller Mike praises burgers with blue cheese, amazing pie."
25022101,TEXASSTA,02/21/2025,Praise,"""Chicken fried steak and catfish are really good.""","Caller Marshall praises affordable prices, live bands on weekends."
25022102,SCISCIAN,02/21/2025,Praise,"""Food out does Olive Garden, bread to die for.""","Caller Paul praises impeccable service, light atmosphere, great music."
