Check Dup,Restaurant ID,Restaurant Name,Cuisine Keywords,Chain (Y/N),Address,City,Neighborhood,Google Maps Link,Profile Picture,Operational (Y/N),Coordinates
1,ALDINOAT,Aldino at The Vineyard - Italian Restaurant In San Antonio,Italian,No,"1203 North Loop 1604 W at Blanco, San Antonio, TX 78232",San Antonio,Alamo Heights,"https://www.google.com/maps/place/Aldino+at+The+Vineyard+-+Italian+Restaurant+In+San+Antonio/@29.5721493,-98.487417,12z/data=!4m6!3m5!1s0x865c622727d3a031:0x4d5d19c7b2ef842c!8m2!3d29.6095288!4d-98.5102127!16s%2Fg%2F1tq4rhth?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipPTksDg0QTxXEmVtJeq8Shhu3PXf3QHF39Gm7x1=w408-h263-k-no,Yes,"29.5721493,-98.4874170"
1,ALDOSRIS,Aldo's Ristorante Italiano,Italian,No,"22211 I-10 West #1101, San Antonio, TX 78256",San Antonio,The Dominion,"https://www.google.com/maps/place/Aldo's+Ristorante+Italiano/@29.6480915,-98.6244427,17z/data=!3m1!4b1!4m6!3m5!1s0x865c6753195e4489:0x1b4038b43368899c!8m2!3d29.6480915!4d-98.6244427!16s%2Fg%2F1th0bw6l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipPk1nRdGWmqy4ixarG7EppOaTTID1bo2et45yMZ=w408-h544-k-no,Yes,"29.6480915,-98.6244427"
1,AZÚCANUE,Azúca Nuevo Latino,Latin,No,"709 S Alamo St, San Antonio, TX 78205",San Antonio,Southtown,"https://www.google.com/maps/place/Azuca+Nuevo+Latino/@29.4171272,-98.488617,17z/data=!4m15!1m8!3m7!1s0x865c58a921594609:0xd44cb19082665562!2s709+S+Alamo+St,+San+Antonio,+TX+78205!3b1!8m2!3d29.4171272!4d-98.488617!16s%2Fg%2F11bw426_l3!3m5!1s0x865c58a926ce2469:0x5e22da6fe2444dfe!8m2!3d29.4171217!4d-98.4885876!16s%2Fg%2F1vc_qsk4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipPqDpUtlcH87hF63rGytdcZPXfRRo8V9QVFDHa8=w408-h527-k-no,Yes,"29.4171272,-98.4886170"
1,BDADDYSB,B-Daddy’s Barbecue,BBQ,No,"14436 Bandera Rd, Helotes, TX 78023",Helotes,Helotes,"https://www.google.com/maps/place/B-Daddy's+Barbecue/@29.577388,-98.6925184,17z/data=!3m1!4b1!4m6!3m5!1s0x865c68c3a4470ecf:0xd27de5cb4dca6b6!8m2!3d29.5773834!4d-98.6899435!16s%2Fg%2F11cjqq4pq3?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipNrLdvmKiEu097R1X-rEY23B_yn4g_bDP-CQD3e=w408-h240-k-no-pi0-ya269.92734-ro-0-fo100,Yes,"29.5773880,-98.6925184"
1,BENNYSTA,Benny's Tacos,Mexican,No,"5050 Walzem Rd, San Antonio, TX 78218",San Antonio,Northeast Side,"https://www.google.com/maps/place/Benny's+Tacos/@29.511263,-98.3939479,17z/data=!4m15!1m8!3m7!1s0x865cf35984560bf1:0x9067bdc37948963f!2s5050+Walzem+Rd,+Windcrest,+TX+78218!3b1!8m2!3d29.5098363!4d-98.3915307!16s%2Fg%2F11bw3yzts9!3m5!1s0x865cf3598fe22bbf:0xc2b80f3353a8b7d1!8m2!3d29.5099447!4d-98.3915274!16s%2Fg%2F1tcvc9nc?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMwZVnr6vDrOxaDwILYYiNHalOvR3lJTnf7VXns=w426-h240-k-no,Yes,"29.5112630,-98.3939479"
1,BLACKSBA,Black's Barbecue (Lockhart),"BBQ, American",Yes,"215 N Main St, Lockhart, TX 78644",Lockhart,Lockhart,"https://www.google.com/maps/place/Black's+Barbecue+Lockhart/@29.8847357,-97.6739479,17z/data=!4m15!1m8!3m7!1s0x864356f4501b0e6f:0xe474ba9ebc5a6869!2s215+N+Main+St,+Lockhart,+TX+78644!3b1!8m2!3d29.8859932!4d-97.6729602!16s%2Fg%2F11b8z9b03q!3m5!1s0x8643572cb5a8f175:0xb41cb2b0de40ebf5!8m2!3d29.885886!4d-97.672921!16s%2Fg%2F11c6_vxbz1?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipM4C9QQbRp8QIQr8Z3NcfM3vJ8mh0hbwu_cYybm=w408-h272-k-no,Yes,"29.8847357,-97.6739479"
1,BLÜPRIME,Blü Prime Steakhouse,Steakhouse,No,"1818 N Loop 1604 W Suite 101, San Antonio, TX 78248",San Antonio,North Side,"https://www.google.com/maps/place/Bl%C3%BC+Prime+Steakhouse/@29.607107,-98.5230579,17z/data=!4m15!1m8!3m7!1s0x865c61877b087643:0x3d095f61f0add475!2s1818+N+Loop+1604+W,+San+Antonio,+TX+78248!3b1!8m2!3d29.607107!4d-98.520483!16s%2Fg%2F11c4vt0w_r!3m5!1s0x865c61e02062375f:0xa159cf83e025f666!8m2!3d29.607107!4d-98.520483!16s%2Fg%2F11kjm0cjhq?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipM63hH8VAL4a9ztNf8jQtxsAaWBvG9k-cC8jAt3=w408-h485-k-no,Yes,"29.6071070,-98.5230579"
1,BOHANANS,Bohanan's Prime Steaks and Seafood,"American, Steakhouse",No,"219 E Houston St, San Antonio, TX 78205",San Antonio,Downtown SA/River Walk,"https://www.google.com/maps/place/Bohanan's+Prime+Steaks+and+Seafood/@29.426614,-98.495614,17z/data=!3m1!5s0x865c5f536829d7a7:0xb825fcec6f6ddab0!4m15!1m8!3m7!1s0x865c5f5367f4aab9:0x8771da834fd177ba!2s219+E+Houston+St,+San+Antonio,+TX+78205!3b1!8m2!3d29.4267381!4d-98.4903991!16s%2Fg%2F11bw4lb3y7!3m5!1s0x865c5f52f972896d:0x14cff333967ab7e3!8m2!3d29.4267169!4d-98.4903776!16s%2Fg%2F11xt897py?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipOwgHAZ8UeJ2zvMfzJy-vuUVETWpiyowiCARPP0=w408-h244-k-no,Yes,"29.4266140,-98.4956140"
1,CABOBOBS,Cabo Bob's Burritos,Mexican,Yes,"847 NE Interstate 410 Loop, San Antonio, TX 78209",San Antonio,Northeast Side,"https://www.google.com/maps/place/Cabo+Bob%E2%80%99s+Burritos/@29.514263,-98.4659479,17z/data=!4m15!1m8!3m7!1s0x865cf5356340d3fb:0x758564753a1625ed!2s847+NE+Interstate+410+Loop,+San+Antonio,+TX+78209!3b1!8m2!3d29.5171611!4d-98.4620571!16s%2Fg%2F11bw3yxdrl!3m5!1s0x865cf5fb572534eb:0x9561abc489c801ce!8m2!3d29.5171338!4d-98.4620871!16s%2Fg%2F11flc5z_gq?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/AB5caB-T98EVRYToeQ7YVZ4U3skq49pf-0iUd7iSw_ZjNI8ahLlXzlidE617LmLG-Y5DoM0Q3IkG2u2l5YRp8oJbfEe8Xon7T-moWZyX7Xa3rc2TK4htXNJ7O7WcPwK4U46Bf_JCrd1a=w408-h306-k-no,Yes,"29.5142630,-98.4659479"
1,CAPNJIMS,Cap'n Jim's Fish & Chicken to Go,American,No,"2026 Pleasanton Rd, San Antonio, TX 78221",San Antonio,South Side,"https://www.google.com/maps/place/Cap'n+Jim's+Fish+%26+Chicken+to+Go/@29.355263,-98.5059479,17z/data=!4m15!1m8!3m7!1s0x865c586a2c989787:0xbe9563b1b8280c34!2s2026+Pleasanton+Rd,+San+Antonio,+TX+78221!3b1!8m2!3d29.3607232!4d-98.5035477!16s%2Fg%2F11c3q55119!3m5!1s0x865cf7df1c516d3f:0x91ad729599991746!8m2!3d29.3607075!4d-98.5035068!16s%2Fg%2F11clszmx7z?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/p/AF1QipMSiX5R02uoBg-a9Y79AlC4z0d1KTWH6Zg-i0t_=w408-h306-k-no,Yes,"29.3552630,-98.5059479"
